id,age,salary,marital_status,loan_amount,loan_term,job_category,approved
8236b67f16dd48a38766fc975e18be62,27,144000,C6,5000,6,C6,1
c3d63a5655d94ea2970bda9f25f43fb9,31,120000,C2,25000,24,C1,0
178604a1ee5c43d795a1e259d24d2161,26,200000,C6,10000,36,C2,0
ae409bf8af1e457f90d5f908357f4b8c,23,120000,C1,25000,36,C8,0
d319baeb6bd34b7097372a797ef08b3b,52,128000,C6,25000,24,C1,0
9358b27a40104be99ef8d92e6c297dff,26,120000,C1,25000,28,C1,1
d5b802d0d7a04c52b9c54d3fbba56e0e,30,122500,C2,37500,60,C1,0
1667cca6343c46a4b612b060decdad69,44,146720,C5,15000,24,C1,0
ef17484f821949eb91608871a7ca17c4,37,104640,C2,5000,36,C1,0
4fad55d34ff347d1a753cfb2a94278f7,29,104000,C2,15000,8,C4,0
40d6508203ac42258da7e21f355e3b3e,45,108240,C2,7500,24,C2,1
bdfc145de0d6426eafe1583404c9eaad,27,1768320,C2,5000,12,C2,0
e8d58725348e433891ce9a715de02799,30,1500000,C1,25000,12,C5,0
93757678098f441bb97183a82812435f,35,179360,C1,25000,36,C1,0
44890394fce54c89abacc55b938b952b,22,114880,C1,15000,24,C1,0
a402a6ae4bd247a99093aff5b46fa494,28,120000,C2,25000,36,C2,0
8790037ed6ab44ef92855097f307dfba,24,116080,C1,17500,24,C1,1
9f2adfdc4d404a25ac2020d31c5575e6,23,140000,C1,27850,42,C3,0
25edefa71c84452cbc939024919eb616,32,216000,C5,25000,36,C1,0
bc82f74d4ca643bda75e1e8fab40459d,28,124535,C1,25000,60,C7,0
9cb0a83db7634121a73edfabc69d6ab7,26,152000,C1,27800,60,C4,0
e05b7e6aba014fa9a408f171f75b30e0,27,112000,C5,25000,24,C7,0
21e0c51a5acc41f5beeeef16d6f7f108,23,192000,C1,25000,36,C1,0
62008e32ffef42a6a6ceb00c3ef21fc0,21,104000,C1,7500,12,C3,0
6213d27c5d7e43aa9e6aac248ba31860,47,167120,C1,7500,12,C5,0
